"source_id","short_citation","long_citation"
1,"Avenwedde et. al., (1996)","Avenwedde, Heinrich, and Christoph Lütke Schelhowe (1996). Denkmäler in Münster. Münster: Eigenverl. Schriftproben."
2,"Reller (1882)","Reller, L. (1882) Die Wiederherftellung der katholischen Kirche nach den Wiedertäufer-Unruhen in Münster 1535-1537. Historische Zeitschrift. 47 (3), 429–456."
3,"Jakobi (1994)", "Franz-Josef Jakobi (1994), Geschichte der Stadt Münster"
4,"Stadt Münster (2008)","Stadt Münster (2008), Das Rathaus zu Münster – ein Geschenk an die Stadt, In: Presseportal Stadt Münster, https://www.presse-service.de/data.aspx/static/707819.html (Last retrieved: 01-27-2024)"
5,"Isenberg (1977)","Gabriele Isenberg (1977), Zur Baugeschichte der St. Lamberti-Kirche in Münster. Westfalen 55, 450–480."
6,"WBT (2024)-1","Das Wolfgang Borchert Theater (2024), Der Flechtheimspeicher, In: Wolfgang Borchert Theater, https://www.wolfgang-borchert-theater.de/das-haus/flechtheimspeicher.html, (last retrieved: 01-27-2024)"
7,"WBT (2024)-2","Das Wolfgang Borchert Theater (2024), Geschichte des WBT, In: Wolfgang Borchert Theater, https://www.wolfgang-borchert-theater.de/das-haus/geschichte-des-wbt.html, (last retrieved: 01-27-2024)"
8,"Coppenrath (2024)","Coppenrath - Die Spiegelburg (2024), Alte Feuerwache, In: Coppenrath - Die Spiegelburg, https://www.coppenrath.de/ueber-uns/alte-feuerwache/, (last retrieved: 01-27-2024)"
9,"Kunsthalle Münster (2024)","Kunsthalle Münster (2024), Über, In: Kunsthalle Münster, https://www.kunsthallemuenster.de/de/ueber/, (last retrieved: 01-27-2024)"
10,"Adler (2018)", "Florian Adler (2018), Blick zurück auf Straßenbahnen: So sah Münsters Nahverkehr vor 70 Jahren aus, In: Stadtwerke Münster, https://www.stadtwerke-muenster.de/blog/verkehr/blick-zurueck-auf-strassenbahnen-so-sah-muensters-nahverkehr-vor-70-jahren-aus/, (last retrieved: 01-27-2024)"